DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1963/03/07 12:16:26.30,-44.2000,-75.4000,33.00,5.60,Mb,32,,,0.00,NEI,1963030740
1963/03/10 10:51:46.70,-30.0000,-71.2000,60.00,5.80,Mb,45,,,0.00,NEI,1963031040
1963/05/07 16:23:11.80,-22.1000,-68.7000,112.00,5.70,Mb,51,,,0.00,NEI,1963050740
1963/05/19 01:03:06.20,-46.3000,-74.8000,48.00,6.30,Mb,82,,,0.00,NEI,1963051940
1963/12/03 23:03:41.60,-22.4000,-69.3000,18.00,6.10,Mb,37,,,0.00,NEI,1963120340
1963/12/29 17:15:39.20,-18.5000,-69.7000,113.00,5.50,Mb,41,,,0.00,NEI,1963122940
1964/01/26 09:09:33.90,-16.3000,-71.7000,116.00,6.10,Mb,77,,,0.00,NEI,1964012640
1964/07/25 19:31:07.00,-27.9000,-70.9000,26.00,6.10,Mb,38,,,0.00,NEI,1964072540
1964/08/05 22:23:13.00,-41.1000,-74.9000,33.00,6.10,Mb,49,,,0.00,NEI,1964080540
1964/08/18 04:44:58.00,-26.4000,-71.5000,8.00,6.40,Mb,26,,,0.00,NEI,1964081840
1964/11/18 05:01:41.40,-31.2000,-67.6000,8.00,5.60,Mb,39,,,0.00,NEI,1964111840
1965/01/31 12:57:29.10,-21.2000,-67.8000,71.00,5.60,Mb,29,,,0.00,NEI,1965013140
1965/02/23 22:11:50.20,-25.7000,-70.5000,80.00,7.00,Unk,72,,,0.00,NEI,1965022340
1965/03/22 03:05:33.30,-23.8000,-66.7000,176.00,5.50,Mb,31,,,0.00,NEI,1965032240
1965/03/22 22:56:26.50,-31.9000,-71.5000,46.00,6.00,Mb,33,,,0.00,NEI,1965032240
1965/03/28 16:33:14.60,-32.4000,-71.2000,61.00,7.13,Unk,16,,,0.00,NEI,1965032840
1965/05/02 05:47:43.90,-19.8000,-69.5000,117.00,5.50,Mb,12,,,0.00,NEI,1965050240
1965/05/03 01:09:31.50,-32.5000,-70.6000,77.00,5.60,Mb,35,,,0.00,NEI,1965050340
1965/05/03 16:09:09.00,-24.2000,-67.8000,114.00,5.60,Mb,21,,,0.00,NEI,1965050340
1965/05/07 23:56:11.60,-22.2000,-68.5000,84.00,5.50,Mb,32,,,0.00,NEI,1965050740
1965/06/12 18:50:11.70,-20.5000,-69.3000,102.00,5.80,Mb,76,,,0.00,NEI,1965061240
1965/07/12 13:57:14.80,-28.4000,-68.3000,118.00,5.70,Mb,48,,,0.00,NEI,1965071240
1965/07/30 05:45:16.10,-18.1000,-70.8000,72.00,6.00,Mb,57,,,0.00,NEI,1965073040
1965/08/20 09:42:48.70,-18.9000,-69.0000,128.00,6.20,Mb,98,,,0.00,NEI,1965082040
1965/10/03 16:14:56.30,-42.9000,-75.2000,31.00,6.10,Mb,81,,,0.00,NEI,1965100340
1965/10/23 06:53:29.40,-29.5000,-71.8000,8.00,5.60,Mb,54,,,0.00,NEI,1965102340
1965/10/26 12:15:07.50,-24.5000,-70.2000,52.00,5.50,Mb,48,,,0.00,NEI,1965102640
1965/11/13 17:59:40.40,-29.3000,-68.1000,34.00,6.00,Mb,77,,,0.00,NEI,1965111340
1965/11/28 03:56:45.70,-45.7000,-72.6000,33.00,5.80,Mb,52,,,0.00,NEI,1965112840
1965/12/30 06:16:04.10,-16.6000,-71.1000,112.00,5.70,Mb,79,,,0.00,NEI,1965123040
